,class,length,words,sentences,herdan,maas,simpson,grammar_score,TTR1,TTR2,TTR3,avg_token_length,perplexity
721,1,1309,229,10,1.712640822617964,0.20805320450338569,0.9762781030110028,0.0,0.4672489082969432,0.8596491228070176,0.9380530973451328,4.525862068965517,11.968550288115203
722,1,1414,203,9,1.751487549843261,0.21452837329917387,0.9849547428959693,0.0,0.5714285714285714,0.9322033898305084,1.0,5.70873786407767,11.227543590728429
723,1,543,85,4,2.094698319713754,0.2613021429891029,0.9663667820069205,0.0,0.6470588235294118,0.9411764705882353,1.0,4.943820224719101,14.064898725303973
724,1,1234,212,8,1.7373031339095306,0.21219760660027837,0.9791073335706657,0.0,0.5,0.9369369369369369,0.9818181818181818,4.609302325581395,12.823556567308067
725,1,1542,256,14,1.6782175530395262,0.20206484904509653,0.9824371337890625,0.00390625,0.5234375,0.8767123287671232,0.9862068965517241,4.680608365019012,9.236873112466382
726,1,622,94,4,2.048296350560556,0.25589469762851197,0.9779311905839747,0.0,0.6808510638297872,0.9818181818181818,1.0,5.237113402061856,11.185934221332978
727,1,725,111,6,1.975996272292998,0.24696308540107373,0.9724048372697022,0.04504504504504504,0.5225225225225225,0.8387096774193549,0.9016393442622951,5.2368421052631575,10.674675339683672
728,1,1018,161,8,1.8313862573448076,0.22698277166013395,0.9783573164615562,0.0,0.5962732919254659,0.9625,1.0,5.180124223602484,9.693869479906848
729,1,956,137,6,1.891473617954746,0.23565584248505092,0.9771431615962491,0.0072992700729927005,0.6277372262773723,0.9240506329113924,0.9871794871794872,5.846715328467154,9.962035268604794
730,1,1510,206,9,1.7466648674304044,0.21374016313984032,0.9805825242718447,0.0,0.5194174757281553,0.8951612903225806,0.983739837398374,6.033333333333333,11.850970052358157
731,1,339,48,3,2.4039087858839903,0.2920054192837709,0.96875,0.020833333333333332,0.7916666666666666,0.9666666666666667,1.0,5.979166666666667,30.139247845648825
732,1,227,34,2,2.638985451737782,0.31053324880182726,0.9550173010380623,0.029411764705882353,0.7647058823529411,0.9444444444444444,1.0,5.588235294117647,21.11744281904547
733,1,1383,207,9,1.7450787267832173,0.2134799752434822,0.9779458097038438,0.004830917874396135,0.48792270531400966,0.9026548672566371,1.0,5.473684210526316,9.310317641304794
734,1,996,149,6,1.859735007745284,0.23114449213590232,0.9777487500563038,0.0,0.5704697986577181,0.975,1.0,5.54,16.84415473208602
735,1,1204,186,9,1.7808008506910633,0.2192274476924422,0.9801133078968667,0.0,0.6075268817204301,1.0,1.0,5.157894736842105,6.815899997395607
736,1,1242,189,12,1.7753649871518222,0.2183677702227649,0.977464236723496,0.06878306878306878,0.48677248677248675,0.9304347826086956,0.9912280701754386,5.272251308900524,12.451757674376399
737,1,1054,157,7,1.8404987574379614,0.22833450825252527,0.9786603919023084,0.0,0.5987261146496815,0.978021978021978,1.0,5.3625,10.102741722790862
738,1,870,126,5,1.9242083693815226,0.24015288159217937,0.9758755353993448,0.0,0.6984126984126984,1.0,1.0,5.637795275590551,10.18130609269941
739,1,1793,250,9,1.6854260603274343,0.20333910708437541,0.981392,0.004,0.536,0.9271523178807947,1.0,5.866666666666666,12.364844093194561
740,1,1548,213,9,1.73577821062715,0.21194476521320882,0.9824770217549429,0.0,0.5774647887323944,0.9193548387096774,0.975609756097561,5.949771689497717,10.354667572905802
